address,latitude,longitude,name,phone,price,price_text,rating,type,url,website
Da Nang 550000 ,16.0616944,108.2469346,My Khe Beach,,0,,4.7,Natural,https://www.google.com/maps/place/My+Khe+Beach/data=!4m7!3m6!1s0x31421782f7fa0ee3:0xeafb8ba272ee55ac!8m2!3d16.0616944!4d108.2469346!16s%2Fg%2F1223wyjj!19sChIJ4w7694IXQjERrFXucqKL--o?authuser=0&hl=en&rclk=1,
"Bến Xe Bus, Sơn Trà, Đà Nẵng ",16.0991295,108.2550616,Bãi biển Sơn Trà,0936 790 798 ,0,,4.8,Natural,https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+S%C6%A1n+Tr%C3%A0/data=!4m7!3m6!1s0x31421705ce8b53ad:0x44c6162f52afec46!8m2!3d16.0991295!4d108.2550616!16s%2Fg%2F11sy4vh78m!19sChIJrVOLzgUXQjERRuyvUi8WxkQ?authuser=0&hl=en&rclk=1,https://sontraseahotel.com/
"364W+JW5 Quảng trường, Nguyễn Văn Thoại, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000 ",16.05651,108.2473543,Bãi Tắm Biển Mỹ Khê,,0,,4.7,Natural,https://www.google.com/maps/place/B%C3%A3i+T%E1%BA%AFm+Bi%E1%BB%83n+M%E1%BB%B9+Kh%C3%AA/data=!4m7!3m6!1s0x31421700590eb817:0x822428924d824bf7!8m2!3d16.05651!4d108.2473543!16s%2Fg%2F11w37bcwn0!19sChIJF7gOWQAXQjER90uCTZIoJII?authuser=0&hl=en&rclk=1,
"36CW+4JQ, Đường võ nguyên giáp, Sơn Trà, Đà Nẵng 550000 ",16.070326,108.2466193,Phước Mỹ Beach,,0,,4.7,Natural,https://www.google.com/maps/place/Ph%C6%B0%E1%BB%9Bc+M%E1%BB%B9+Beach/data=!4m7!3m6!1s0x314217f5d59f60ef:0x5549fd4bf94bb8df!8m2!3d16.070326!4d108.2466193!16s%2Fg%2F11hz1hj_gt!19sChIJ72Cf1fUXQjER37hL-Uv9SVU?authuser=0&hl=en&rclk=1,
"81 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000 ",16.0037104,108.2631605,The Marble Mountains,0236 3961 114 ,40000,₫40000,4.3,Natural,https://www.google.com/maps/place/The+Marble+Mountains/data=!4m7!3m6!1s0x31420dd4e14b2edb:0xbc6e1faf738be4c5!8m2!3d16.0037104!4d108.2631605!16s%2Fm%2F02623q9!19sChIJ2y5L4dQNQjERxeSLc68fbrw?authuser=0&hl=en&rclk=1,https://nguhanhson.org/
"02 Đ. 2 Tháng 9, Phường, Hải Châu, Đà Nẵng 550000 ",16.0603007,108.2232677,Da Nang Museum of Cham Sculpture,0236 3572 935 ,60000,₫60000,4.2,Historical,https://www.google.com/maps/place/Da+Nang+Museum+of+Cham+Sculpture/data=!4m7!3m6!1s0x314219cdb3006a2d:0x62ca993f60c3a12c!8m2!3d16.0603007!4d108.2232677!16s%2Fm%2F02pvbjt!19sChIJLWoAs80ZQjERLKHDYD-ZymI?authuser=0&hl=en&rclk=1,http://chammuseum.vn/
"4 Trần Quốc Toản, Hải Châu, Đà Nẵng 550000 ",16.0661013,108.2243619,Da Nang Food Tour,0787 796 006 ,0,,4.5,Entertainment,https://www.google.com/maps/place/Da+Nang+Food+Tour/data=!4m7!3m6!1s0x314218211e40911f:0xe1f91d885f1de98b!8m2!3d16.0661013!4d108.2243619!16s%2Fg%2F11cn9cb9by!19sChIJH5FAHiEYQjERi-kdX4gd-eE?authuser=0&hl=en&rclk=1,http://danangfoodtour.com/
"Lô 10, Trần Nhân Tông, Thọ Quang, Sơn Trà, Đà Nẵng ",16.0954282,108.2431088,3D Museum Art in paradise Da Nang,0236 3941 100 ,200000,₫200000,4.4,Historical,https://www.google.com/maps/place/3D+Museum+Art+in+paradise+Da+Nang/data=!4m7!3m6!1s0x314217f750645271:0x91c392fc753f0fb0!8m2!3d16.0954282!4d108.2431088!16s%2Fg%2F11d_d3m0pj!19sChIJcVJkUPcXQjERsA8_dfySw5E?authuser=0&hl=en&rclk=1,http://artinparadise.com.vn/
"Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000 ",16.0412139,108.2256332,Da Nang DownTown,,70000,₫70000,4.4,Entertainment,https://www.google.com/maps/place/Da+Nang+DownTown/data=!4m7!3m6!1s0x314219e7a191cc17:0xe60f91d4055e3074!8m2!3d16.0412139!4d108.2256332!16s%2Fg%2F11c1s0n2xz!19sChIJF8yRoecZQjERdDBeBdSRD-Y?authuser=0&hl=en&rclk=1,https://ticketcheap.shop/da-nang-downtown
"90 Hùng Vương, Hải Châu, Đà Nẵng 550000 ",16.0677927,108.2144834,Con Market,,70000,₫70000,4.3,Shopping,https://www.google.com/maps/place/Con+Market/data=!4m7!3m6!1s0x314218358f50a1bb:0x4b451504a6ccd4df!8m2!3d16.0677927!4d108.2144834!16s%2Fg%2F12jsfsz42!19sChIJu6FQjzUYQjER39TMpgQVRUs?authuser=0&hl=en&rclk=1,http://ticketdulich.com/bana-hills
"26RF+45R, 30 Tháng 4, Hoà Cường Bắc, Hải Châu, Đà Nẵng ",16.0403618,108.2228858,Grass Square,,0,,3.8,Entertainment,https://www.google.com/maps/place/Grass+Square/data=!4m7!3m6!1s0x314219850da3bea5:0x812ca4275d834f29!8m2!3d16.0403618!4d108.2228858!16s%2Fg%2F11gxhrw1zh!19sChIJpb6jDYUZQjERKU-DXSekLIE?authuser=0&hl=en&rclk=1,
"26X9+F2G, Duy Tân, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000 ",16.0486814,108.217581,Ho Chi Minh Museum,024 3845 5435 ,40000,₫40000,4.3,Historical,https://www.google.com/maps/place/Ho+Chi+Minh+Museum/data=!4m7!3m6!1s0x314219c69cf3c7a3:0x2927993f5153d336!8m2!3d16.0486814!4d108.217581!16s%2Fm%2F011py73s!19sChIJo8fznMYZQjERNtNTUT-ZJyk?authuser=0&hl=en&rclk=1,http://baotanghochiminh.vn/
"XXVW+XJ, Hòa Vang, Đà Nẵng ",15.9949375,107.9965625,Golden Bridge,,950000,₫950000,4.6,Entertainment,https://www.google.com/maps/place/Golden+Bridge/data=!4m7!3m6!1s0x3141f73d19c5d38f:0x63766c11470ab50d!8m2!3d15.9949375!4d107.9965625!16s%2Fg%2F11f7r5z2l1!19sChIJj9PFGT33QTERDbUKRxFsdmM?authuser=0&hl=en&rclk=1,https://www.ticketcheap.shop/banahills
"Thôn An Sơn, Hòa Vang, Da Nang ",15.9951364,107.9961392,Ba Na Hills,,911400,₫911400,4.4,Entertainment,https://www.google.com/maps/place/Ba+Na+Hills/data=!4m7!3m6!1s0x3141f7b5026661c9:0x847bab3e51ad7ea2!8m2!3d15.9951364!4d107.9961392!16s%2Fm%2F0gfdsrk!19sChIJyWFmArX3QTERon6tUT6re4Q?authuser=0&hl=en&rclk=1,https://www.ticketcheap.shop/banahills
"Phước Ninh, Hải Châu District, Da Nang 550000 ",16.0581055,108.2232435,APEC Park,,974025,₫974025,4.4,Natural,https://www.google.com/maps/place/APEC+Park/data=!4m7!3m6!1s0x31421930165d7dcd:0xf9d555ad7f300ab3!8m2!3d16.0581055!4d108.2232435!16s%2Fg%2F11ptzzkgk7!19sChIJzX1dFjAZQjERswowf61V1fk?authuser=0&hl=en&rclk=1,
"78 Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng 550000 ",16.0711877,108.2179411,Danang Fine Arts Museum,0236 3865 663 ,0,,4.5,Historical,https://www.google.com/maps/place/Danang+Fine+Arts+Museum/data=!4m7!3m6!1s0x314218368e61cbef:0xf1549bd773be2c92!8m2!3d16.0711877!4d108.2179411!16s%2Fg%2F11c1nvrp3j!19sChIJ78thjjYYQjERkiy-c9ebVPE?authuser=0&hl=en&rclk=1,http://dnfam.vn/
"99 Ngô Thì Sĩ, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 50000 ",16.0478948,108.2457602,Dragon fire show,0338 486 123 ,0,,4.1,Entertainment,https://www.google.com/maps/place/Dragon+fire+show/data=!4m7!3m6!1s0x31421937a951d293:0x1fe1058442f3f052!8m2!3d16.0478948!4d108.2457602!16s%2Fg%2F11sv1269z8!19sChIJk9JRqTcZQjERUvDzQoQF4R8?authuser=0&hl=en&rclk=1,https://www.facebook.com/mmfloraldanang?locale=vi_VN
"31 Trần Phú, P, Hải Châu, Đà Nẵng 550000 ",16.0745542,108.2239668,Đà Nẵng Museum,0236 3886 236 ,50000,₫50000,4.2,Historical,https://www.google.com/maps/place/%C4%90%C3%A0+N%E1%BA%B5ng+Museum/data=!4m7!3m6!1s0x3142183691882913:0xc9180a3982a9ef58!8m2!3d16.0745542!4d108.2239668!16s%2Fg%2F1tlwc3mc!19sChIJEymIkTYYQjERWO-pgjkKGMk?authuser=0&hl=en&rclk=1,http://baotangdanang.vn/
"Bàn cờ, Thọ Quang, Sơn Trà, Đà Nẵng ",16.1189365,108.2719826,Ban Co Peak,,1518895,₫1518895,4.6,Entertainment,https://www.google.com/maps/place/Ban+Co+Peak/data=!4m7!3m6!1s0x31423d6e34ee0105:0x69e23a6263ffc6ec!8m2!3d16.1189365!4d108.2719826!16s%2Fg%2F11bbwpgtdk!19sChIJBQHuNG49QjER7Mb_Y2I64mk?authuser=0&hl=en&rclk=1,
