address,latitude,longitude,name,phone,price,price_text,rating,type,url,website
"588 Bùi Thị Xuân, Thủy Biều, Huế, Thành phố Huế ",16.449661,107.539719,Hue Riverside Boutique Resort & Spa,0234 3978 484 ,849279.0,"₫849,279",4.1,Resort,https://www.google.com/maps/place/Hue+Riverside+Boutique+Resort+%26+Spa/data=!4m10!3m9!1s0x3141a69ac4b9fa67:0x92dd8eb8d73b88cb!5m2!4m1!1i2!8m2!3d16.449661!4d107.539719!16s%2Fg%2F1pp2t_5f0!19sChIJZ_q5xJqmQTERy4g717iO3ZI?authuser=0&hl=en&rclk=1,http://www.hueriversideresort.com/
"10 Trần Hưng Đạo, Sơn Phong, Hội An, Quảng Nam 51306 ",15.88049,108.3307507,Hoi An Historic Hotel,0235 3861 445 ,1225566.0,"₫1,225,566",4.4,Hotel,https://www.google.com/maps/place/Hoi+An+Historic+Hotel/data=!4m10!3m9!1s0x31420e78c96c258f:0x53b7afede03b477c!5m2!4m1!1i2!8m2!3d15.88049!4d108.3307507!16s%2Fg%2F12hmhw0ms!19sChIJjyVsyXgOQjERfEc74O2vt1M?authuser=0&hl=en&rclk=1,http://www.hoianhistorichotel.com.vn/
"238 Đường võ nguyên giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000 ",16.0661258,108.2451505,Monarque Hotel,0236 3588 888 ,1000752.0,"₫1,000,752",4.8,Hotel,https://www.google.com/maps/place/Monarque+Hotel/data=!4m10!3m9!1s0x3142178d36fbef43:0xdb079f9de0401ead!5m2!4m1!1i2!8m2!3d16.0661258!4d108.2451505!16s%2Fg%2F11g9r46qv5!19sChIJQ-_7No0XQjERrR5A4J2fB9s?authuser=0&hl=en&rclk=1,https://www.booking.com/hotel/vn/monarque.vi.html?aid=7955654
"50 Bạch Đằng, Hải Châu, Đà Nẵng 50000 ",16.0726665,108.224286,Hilton Da Nang,0236 3874 000 ,1830000.0,"₫1,830,000",4.6,Hotel,https://www.google.com/maps/place/Hilton+Da+Nang/data=!4m10!3m9!1s0x3142183030cc0f53:0x9f7d7927946123f7!5m2!4m1!1i2!8m2!3d16.0726665!4d108.224286!16s%2Fg%2F11c5271677!19sChIJUw_MMDAYQjER9yNhlCd5fZ8?authuser=0&hl=en&rclk=1,https://www.hilton.com/en/hotels/daddvhi-hilton-da-nang/?SEO_id=GMB-APAC-HI-DADDVHI
"Lo 41 Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng 553690 ",16.0994982,108.2546497,Sontra Sea Hotel,0936 790 798 ,250000.0,"₫250,000",4.8,Hotel,https://www.google.com/maps/place/Sontra+Sea+Hotel/data=!4m10!3m9!1s0x314217004ed378d3:0x67bf47629e2e54a5!5m2!4m1!1i2!8m2!3d16.0994982!4d108.2546497!16s%2Fg%2F11sqf6qz4p!19sChIJ03jTTgAXQjERpVQunmJHv2c?authuser=0&hl=en&rclk=1,https://sontraseahotel.com/
"108 Đường võ nguyên giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 50000 ",16.0787475,108.2457042,Mangata Beachfront Hotel,0236 3874 999 ,639487.0,"₫639,487",4.4,Hotel,https://www.google.com/maps/place/Mangata+Beachfront+Hotel/data=!4m10!3m9!1s0x3142178ddc408447:0xed6263acc0fb336a!5m2!4m1!1i2!8m2!3d16.0787475!4d108.2457042!16s%2Fg%2F11twtjm6wf!19sChIJR4RA3I0XQjERajP7wKxjYu0?authuser=0&hl=en&rclk=1,http://www.mangatahotel.vn/
"09 Đỗ Bá, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000 ",16.0517799,108.2467562,Santa Luxury Hotel,0236 3589 999 ,748472.0,"₫748,472",4.8,Hotel,https://www.google.com/maps/place/Santa+Luxury+Hotel/data=!4m10!3m9!1s0x314217b4e3029189:0x2184d10ffbf867ec!5m2!4m1!1i2!8m2!3d16.0517799!4d108.2467562!16s%2Fg%2F11jnstgy76!19sChIJiZEC47QXQjER7Gf4-w_RhCE?authuser=0&hl=en&rclk=1,https://santaluxuryhotel.com/
"16 Hoàng Sa, Mân Thái, Sơn Trà, Đà Nẵng 550000 ",16.0893384,108.2492625,Khách Sạn SeaShore,0236 3969 969 ,592844.0,"₫592,844",4.7,Hotel,https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+SeaShore/data=!4m10!3m9!1s0x314217f205d825a1:0x3558404e24eb3da0!5m2!4m1!1i2!8m2!3d16.0893384!4d108.2492625!16s%2Fg%2F11fhqqt7xd!19sChIJoSXYBfIXQjERoD3rJE5AWDU?authuser=0&hl=en&rclk=1,http://seashorehotel.com.vn/
"1691 Nguyễn Tất Thành, Thanh Khê Tây, Thanh Khê, Đà Nẵng 550000 ",16.0780689,108.172699,Avenis Hotel,0236 3956 888 ,556703.0,"₫556,703",4.2,Hotel,https://www.google.com/maps/place/Avenis+Hotel/data=!4m10!3m9!1s0x314219ab94152e7d:0xaf11ebeb0cb50c3d!5m2!4m1!1i2!8m2!3d16.0780689!4d108.172699!16s%2Fg%2F11qln42zst!19sChIJfS4VlKsZQjERPQy1DOvrEa8?authuser=0&hl=en&rclk=1,http://avenishotel.com/
"182 Bạch Đằng, Street, Hải Châu, Đà Nẵng 550000 ",16.0661896,108.2244309,HAIAN Riverfront Hotel Da Nang,0236 3573 888 ,993607.0,"₫993,607",4.3,Hotel,https://www.google.com/maps/place/HAIAN+Riverfront+Hotel+Da+Nang/data=!4m10!3m9!1s0x314218328cba5f7b:0x2aff1fe3766a6839!5m2!4m1!1i2!8m2!3d16.0661896!4d108.2244309!16s%2Fg%2F11j99sqt9n!19sChIJe1-6jDIYQjEROWhqduMf_yo?authuser=0&hl=en&rclk=1,https://www.haianriverfronthotel.com/
