address,latitude,longitude,name,phone,price,price_text,rating,type,url,website
"105 Đường Hai Bà Trưng, Phường 6, Đà Lạt, Lâm Đồng 670000 ",11.945054,108.433109,Coba Coffee,0945 209 079 ,100000.0,"100,000",4.8,Coffee Shop,https://www.google.com/maps/place/Coba+Coffee/data=!4m7!3m6!1s0x317113b01b67ca3b:0xfb4c70070a4833db!8m2!3d11.945054!4d108.433109!16s%2Fg%2F11h101ggd0!19sChIJO8pnG7ATcTER2zNICgdwTPs?authuser=0&hl=en&rclk=1,http://cobacaphedalat.com/
"Hẻm 31 Sào Nam, Phường 11, Đà Lạt, Lâm Đồng 66100 ",11.9409956,108.4836846,Tiệm Cà Phê Túi Mơ To,0978 476 942 ,100000.0,"100,000",4.5,Coffee Shop,https://www.google.com/maps/place/Ti%E1%BB%87m+C%C3%A0+Ph%C3%AA+T%C3%BAi+M%C6%A1+To/data=!4m7!3m6!1s0x3171137e0b663621:0xbd8adab3ed9921bd!8m2!3d11.9409956!4d108.4836846!16s%2Fg%2F11ngjpscp5!19sChIJITZmC34TcTERvSGZ7bPair0?authuser=0&hl=en&rclk=1,https://www.facebook.com/tiemcaphe.tuimoto
"206/15 Đ. Tô Ngọc Vân, Phường 2, Đà Lạt, Lâm Đồng 670000 ",11.9492694,108.4336456,Cafe Tỏi Đen - Quán cà phê trung tâm Đà Lạt,0968 115 005 ,100000.0,"100,000",4.6,Coffee Shop,https://www.google.com/maps/place/Cafe+T%E1%BB%8Fi+%C4%90en+-+Qu%C3%A1n+c%C3%A0+ph%C3%AA+trung+t%C3%A2m+%C4%90%C3%A0+L%E1%BA%A1t/data=!4m7!3m6!1s0x31711327c646f10d:0x6902656e3f1caafb!8m2!3d11.9492694!4d108.4336456!16s%2Fg%2F11bzv05y4x!19sChIJDfFGxicTcTER-6ocP25lAmk?authuser=0&hl=en&rclk=1,http://cafetoiden.vn/
"49 Khe Sanh, Phường 10, Đà Lạt, Lâm Đồng ",11.9333888,108.4581501,Dalat View cafe,0888 888 081 ,100000.0,"100,000",4.0,Coffee Shop,https://www.google.com/maps/place/Dalat+View+cafe/data=!4m7!3m6!1s0x31711300781641b7:0x1b0c68b67c1c2091!8m2!3d11.9333888!4d108.4581501!16s%2Fg%2F11f66qjq_s!19sChIJt0EWeAATcTERkSAcfLZoDBs?authuser=0&hl=en&rclk=1,http://dalatview.com/
"6A Trần Hưng Đạo, Phường 3, Đà Lạt, Lâm Đồng 670000 ",11.9361248,108.4442214,Nhà Lồng Coffee,0974 324 243 ,100000.0,"100,000",4.7,Coffee Shop,https://www.google.com/maps/place/Nh%C3%A0+L%E1%BB%93ng+Coffee/data=!4m7!3m6!1s0x317113408018ab01:0x373cef5677f1ba07!8m2!3d11.9361248!4d108.4442214!16s%2Fg%2F11gwml7bct!19sChIJAasYgEATcTERB7rxd1bvPDc?authuser=0&hl=en&rclk=1,
"19 Đường Nguyễn Khuyến, Phường 5, Đà Lạt, Lâm Đồng 66000 ",11.9442973,108.4219362,Quiet Art Cafe,0913 826 768 ,100000.0,"100,000",5.0,Coffee Shop,https://www.google.com/maps/place/Quiet+Art+Cafe/data=!4m7!3m6!1s0x31716d81a4af6ef7:0xbf21b8629d9d620b!8m2!3d11.9442973!4d108.4219362!16s%2Fg%2F11l3n_y766!19sChIJ926vpIFtcTERC2KdnWK4Ib8?authuser=0&hl=en&rclk=1,https://www.facebook.com/langartcaphe/
"24 Hùng Vương, Phường 10, Đà Lạt, Lâm Đồng 670000 ",11.9451751,108.4641901,Nhà hàng Memory Đà Lạt - The Memory Restaurant,0916 871 306 ,null,,4.6,Restaurant,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Memory+%C4%90%C3%A0+L%E1%BA%A1t+-+The+Memory+Restaurant/data=!4m7!3m6!1s0x31711302e3cea4e5:0xa9a701c25b10efd9!8m2!3d11.9451751!4d108.4641901!16s%2Fg%2F11df81gky2!19sChIJ5aTO4wITcTER2e8QW8IBp6k?authuser=0&hl=en&rclk=1,https://nhahangdalat.info/
"Vòng Xoay 723, Trại Mát, Đà Lạt, Lâm Đồng ",11.9466682,108.4902526,Panorama Cafe Dalat,0937 772 350 ,100000.0,"100,000",4.3,Coffee Shop,https://www.google.com/maps/place/Panorama+Cafe+Dalat/data=!4m7!3m6!1s0x3171124cdecbde71:0x5217956eb9b9c687!8m2!3d11.9466682!4d108.4902526!16s%2Fg%2F11c6cc21l6!19sChIJcd7L3kwScTERh8a5uW6VF1I?authuser=0&hl=en&rclk=1,
"200 Nguyễn Công Trứ, Phường 8, Đà Lạt, Lâm Đồng 66000 ",11.9567925,108.4350921,La Viet Coffee,0263 3981 189 ,100000.0,"100,000",4.5,Coffee Shop,https://www.google.com/maps/place/La+Viet+Coffee/data=!4m7!3m6!1s0x317112d0ec679cb9:0x69dd101b15161e40!8m2!3d11.9567925!4d108.4350921!16s%2Fg%2F11cjh_0nd3!19sChIJuZxn7NAScTERQB4WFRsQ3Wk?authuser=0&hl=en&rclk=1,http://www.laviet.coffee/
"89 Hoàng Hoa Thám, Phường 10, Đà Lạt, Lâm Đồng ",11.9336278,108.4647733,Tiệm cà phê Bình Minh Ơi,0925 903 634 ,100000.0,"100,000",4.4,Coffee Shop,https://www.google.com/maps/place/Ti%E1%BB%87m+c%C3%A0+ph%C3%AA+B%C3%ACnh+Minh+%C6%A0i/data=!4m7!3m6!1s0x317113516992abd1:0x44cf319313eafc9f!8m2!3d11.9336278!4d108.4647733!16s%2Fg%2F11sx6wbc04!19sChIJ0auSaVETcTERn_zqE5Mxz0Q?authuser=0&hl=en&rclk=1,https://www.facebook.com/Tiemcaphebinhminhoi
