poi_id,name,name_norm,place_suffix,address,city,city_norm,latitude,longitude,phone,price,price_text,rating,type,category,url,website
attraction00001,My Khe Beach,my khe,beach,Da Nang 550000,Da Nang,da nang,16.0616944,108.2469346,,0,,4.7,Natural,Attraction,https://www.google.com/maps/place/My+Khe+Beach/data=!4m7!3m6!1s0x31421782f7fa0ee3:0xeafb8ba272ee55ac!8m2!3d16.0616944!4d108.2469346!16s%2Fg%2F1223wyjj!19sChIJ4w7694IXQjERrFXucqKL--o?authuser=0&hl=en&rclk=1,
attraction00002,Bãi biển Sơn Trà,son tra,beach,"Bến Xe Bus, Sơn Trà, Đà Nẵng",Đà Nẵng,da nang,16.0991295,108.2550616,0936 790 798 ,0,,4.8,Natural,Attraction,https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+S%C6%A1n+Tr%C3%A0/data=!4m7!3m6!1s0x31421705ce8b53ad:0x44c6162f52afec46!8m2!3d16.0991295!4d108.2550616!16s%2Fg%2F11sy4vh78m!19sChIJrVOLzgUXQjERRuyvUi8WxkQ?authuser=0&hl=en&rclk=1,https://sontraseahotel.com/
attraction00003,Bãi Tắm Biển Mỹ Khê,my khe,beach,"364W+JW5 Quảng trường, Nguyễn Văn Thoại, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,16.05651,108.2473543,,0,,4.7,Natural,Attraction,https://www.google.com/maps/place/B%C3%A3i+T%E1%BA%AFm+Bi%E1%BB%83n+M%E1%BB%B9+Kh%C3%AA/data=!4m7!3m6!1s0x31421700590eb817:0x822428924d824bf7!8m2!3d16.05651!4d108.2473543!16s%2Fg%2F11w37bcwn0!19sChIJF7gOWQAXQjER90uCTZIoJII?authuser=0&hl=en&rclk=1,
attraction00004,Phước Mỹ Beach,phuoc my,beach,"36CW+4JQ, Đường võ nguyên giáp, Sơn Trà, Đà Nẵng 550000",Đà Nẵng,da nang,16.070326,108.2466193,,0,,4.7,Natural,Attraction,https://www.google.com/maps/place/Ph%C6%B0%E1%BB%9Bc+M%E1%BB%B9+Beach/data=!4m7!3m6!1s0x314217f5d59f60ef:0x5549fd4bf94bb8df!8m2!3d16.070326!4d108.2466193!16s%2Fg%2F11hz1hj_gt!19sChIJ72Cf1fUXQjER37hL-Uv9SVU?authuser=0&hl=en&rclk=1,
attraction00005,The Marble Mountains,the marble s,mountain,"81 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,16.0037104,108.2631605,0236 3961 114 ,40000,₫40000,4.3,Natural,Attraction,https://www.google.com/maps/place/The+Marble+Mountains/data=!4m7!3m6!1s0x31420dd4e14b2edb:0xbc6e1faf738be4c5!8m2!3d16.0037104!4d108.2631605!16s%2Fm%2F02623q9!19sChIJ2y5L4dQNQjERxeSLc68fbrw?authuser=0&hl=en&rclk=1,https://nguhanhson.org/
attraction00006,Da Nang Museum of Cham Sculpture,da nang of cham sculpture,museum,"02 Đ. 2 Tháng 9, Phường, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0603007,108.2232677,0236 3572 935 ,60000,₫60000,4.2,Historical,Attraction,https://www.google.com/maps/place/Da+Nang+Museum+of+Cham+Sculpture/data=!4m7!3m6!1s0x314219cdb3006a2d:0x62ca993f60c3a12c!8m2!3d16.0603007!4d108.2232677!16s%2Fm%2F02pvbjt!19sChIJLWoAs80ZQjERLKHDYD-ZymI?authuser=0&hl=en&rclk=1,http://chammuseum.vn/
attraction00007,Da Nang Food Tour,da nang tour,restaurant,"4 Trần Quốc Toản, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0661013,108.2243619,0787 796 006 ,0,,4.5,Entertainment,Attraction,https://www.google.com/maps/place/Da+Nang+Food+Tour/data=!4m7!3m6!1s0x314218211e40911f:0xe1f91d885f1de98b!8m2!3d16.0661013!4d108.2243619!16s%2Fg%2F11cn9cb9by!19sChIJH5FAHiEYQjERi-kdX4gd-eE?authuser=0&hl=en&rclk=1,http://danangfoodtour.com/
attraction00008,3D Museum Art in paradise Da Nang,3d art in paradise da nang,museum,"Lô 10, Trần Nhân Tông, Thọ Quang, Sơn Trà, Đà Nẵng",Đà Nẵng,da nang,16.0954282,108.2431088,0236 3941 100 ,200000,₫200000,4.4,Historical,Attraction,https://www.google.com/maps/place/3D+Museum+Art+in+paradise+Da+Nang/data=!4m7!3m6!1s0x314217f750645271:0x91c392fc753f0fb0!8m2!3d16.0954282!4d108.2431088!16s%2Fg%2F11d_d3m0pj!19sChIJcVJkUPcXQjERsA8_dfySw5E?authuser=0&hl=en&rclk=1,http://artinparadise.com.vn/
attraction00009,Da Nang DownTown,da nang downtown,island,"Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0412139,108.2256332,,70000,₫70000,4.4,Entertainment,Attraction,https://www.google.com/maps/place/Da+Nang+DownTown/data=!4m7!3m6!1s0x314219e7a191cc17:0xe60f91d4055e3074!8m2!3d16.0412139!4d108.2256332!16s%2Fg%2F11c1s0n2xz!19sChIJF8yRoecZQjERdDBeBdSRD-Y?authuser=0&hl=en&rclk=1,https://ticketcheap.shop/da-nang-downtown
attraction00010,Con Market,con,market,"90 Hùng Vương, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0677927,108.2144834,,70000,₫70000,4.3,Shopping,Attraction,https://www.google.com/maps/place/Con+Market/data=!4m7!3m6!1s0x314218358f50a1bb:0x4b451504a6ccd4df!8m2!3d16.0677927!4d108.2144834!16s%2Fg%2F12jsfsz42!19sChIJu6FQjzUYQjER39TMpgQVRUs?authuser=0&hl=en&rclk=1,http://ticketdulich.com/bana-hills
