itinerary_id,day,order,poi_id
trip00001,day1,1,hotel01836
trip00001,day1,2,attraction00011
trip00001,day1,3,restaurant01716
trip00001,day1,4,restaurant01712
trip00001,day1,5,attraction00010
trip00001,day1,6,attraction00015
trip00001,day1,7,attraction00017
trip00001,day1,8,attraction00050
trip00001,day1,9,hotel01836
trip00002,day1,1,hotel01822
trip00002,day1,2,restaurant01708
trip00002,day1,3,restaurant01142
trip00002,day1,4,attraction00018
trip00002,day1,5,attraction00017
trip00002,day1,6,attraction00040
trip00002,day1,7,hotel01822
trip00002,day2,1,hotel01822
trip00002,day2,2,restaurant01711
trip00002,day2,3,attraction00022
trip00002,day2,4,restaurant01110
trip00002,day2,5,restaurant01145
trip00002,day2,6,hotel01822
trip00002,day3,1,hotel01822
trip00002,day3,2,restaurant01118
trip00002,day3,3,attraction00029
trip00002,day3,4,restaurant01717
trip00002,day3,5,restaurant01152
trip00002,day3,6,attraction00038
trip00002,day3,7,hotel01822
trip00003,day1,1,hotel01833
trip00003,day1,2,attraction00019
trip00003,day1,3,attraction00045
trip00003,day1,4,restaurant01159
trip00003,day1,5,attraction00029
trip00003,day1,6,attraction00015
trip00003,day1,7,restaurant01093
trip00003,day1,8,hotel01833
trip00003,day2,1,hotel01833
trip00003,day2,2,restaurant01712
trip00003,day2,3,attraction00020
trip00003,day2,4,restaurant01140
trip00003,day2,5,attraction00037
trip00003,day2,6,hotel01833
trip00003,day3,1,hotel01833
trip00003,day3,2,restaurant01156
trip00003,day3,3,attraction00030
trip00003,day3,4,restaurant01239
trip00003,day3,5,restaurant01156
trip00003,day3,6,attraction00041
trip00003,day3,7,hotel01833
trip00003,day4,1,hotel01833
trip00003,day4,2,restaurant01147
trip00003,day4,3,restaurant01255
trip00003,day4,4,restaurant01246
trip00003,day4,5,restaurant01284
trip00003,day4,6,attraction00013
trip00003,day4,7,hotel01833
trip00004,day1,1,hotel01833
trip00004,day1,2,restaurant01697
trip00004,day1,3,attraction00006
trip00004,day1,4,attraction00002
trip00004,day1,5,restaurant01137
trip00004,day1,6,attraction00039
trip00004,day1,7,hotel01833
trip00004,day2,1,hotel01833
trip00004,day2,2,attraction00013
trip00004,day2,3,restaurant01721
trip00004,day2,4,restaurant01711
trip00004,day2,5,restaurant01279
trip00004,day2,6,restaurant01115
trip00004,day2,7,hotel01833
trip00004,day3,1,hotel01833
trip00004,day3,2,restaurant01286
trip00004,day3,3,attraction00035
trip00004,day3,4,restaurant01286
trip00004,day3,5,attraction00007
trip00004,day3,6,attraction00049
trip00004,day3,7,attraction00004
trip00004,day3,8,hotel01833
trip00004,day4,1,hotel01833
trip00004,day4,2,restaurant01136
trip00004,day4,3,restaurant01702
trip00004,day4,4,attraction00036
trip00004,day4,5,attraction00050
trip00004,day4,6,attraction00015
trip00004,day4,7,hotel01833
trip00005,day1,1,hotel01822
trip00005,day1,2,attraction00037
trip00005,day1,3,restaurant01279
trip00005,day1,4,attraction00044
trip00005,day1,5,restaurant01099
trip00005,day1,6,attraction00039
trip00005,day1,7,restaurant01284
trip00005,day1,8,hotel01822
trip00005,day2,1,hotel01822
trip00005,day2,2,restaurant01151
trip00005,day2,3,restaurant01711
trip00005,day2,4,attraction00026
trip00005,day2,5,restaurant01148
