day,order,poi_id,name,type,arrival_time,travel_before_min,duration_min
1,1,hotel01843,Wyndham Garden Hanoi,Start,08:30,0,0
1,2,attraction00499,Cây Bồ Đề-Cây Di Tích Lịch Sử Văn Hoá Việt Nam,Visit,08:35,6,130
1,3,attraction00490,Cây Bồ Đề - ngõ Gốc Đề,Visit,10:55,10,130
1,4,restaurant01176,Vị Quảng Restaurant,Lunch,13:11,6,90
1,5,attraction00567,Indira Gandhi Park,Visit,14:47,6,130
1,6,restaurant01186,Vị Quảng (Nhà hàng 13 năm tuổi),Dinner,16:57,1,90
1,7,hotel01843,End of Day,Return Hotel,18:34,7,0
2,1,hotel01843,Wyndham Garden Hanoi,Start,08:30,0,0
2,2,restaurant01383,Phin bar by refined,Visit,08:39,10,130
2,3,attraction00564,Sword Lake Octagon House,Visit,10:54,5,130
2,4,restaurant01166,Lake View Side Restaurant,Lunch,13:04,0,90
2,5,attraction00588,Hoàn Kiếm Lake,Visit,14:35,1,130
2,6,restaurant01187,Huyền Hương Chicken Phở,Dinner,16:45,2,90
2,7,hotel01843,End of Day,Return Hotel,18:28,13,0
3,1,hotel01843,Wyndham Garden Hanoi,Start,08:30,0,0
3,2,attraction00584,Cau Giay Park,Visit,08:37,8,130
3,3,attraction00580,Ho Tay Water Park,Visit,10:56,9,130
3,4,restaurant01170,Alsultan Hanoi Restaurant مطعم السلطان,Lunch,13:09,3,90
3,5,attraction00630,Rentabike Vietnam West Lake - Motorbike Rental + Tours,Visit,14:41,1,130
3,6,restaurant01175,Chops Tay Ho,Dinner,16:51,1,90
3,7,hotel01843,End of Day,Return Hotel,18:36,15,0
